"ozone","temp","month"
25.372619048,55.333333333,5
32.833333333,57.666666667,5
28.886672851,56.666666667,5
12.068537415,56.666666667,5
11.219202899,63.666666667,5
13.191102757,60,5
8.1708074534,56.666666667,5
8.2391304348,58,5
18.136904762,64,5
23.769762846,64,5
20.920918367,59.333333333,5
18.736632342,62.666666667,5
29.316558442,59.333333333,5
20.001253133,56,5
17.196428571,59,5
22.410714286,58.333333333,5
22.04333751,61.333333333,5
13.679679448,60.333333333,5
12.417857143,62.666666667,5
26.114035088,65.333333333,5
24,65,5
29.226190476,67.666666667,5
34.946428571,61.333333333,5
11.762631416,62,5
21.538419913,62.666666667,5
24.452380952,66,5
20.022619048,64.333333333,5
25.660714286,69.666666667,5
34.970238095,74.666666667,5
35.724789916,75.666666667,5
41.840277778,75.333333333,5
40.212770563,75.666666667,6
29.338065661,78.666666667,6
35.386038961,75.666666667,6
28.394557823,70.333333333,6
26.229166667,68.333333333,6
25.194444444,68,6
49.992064612,82.333333333,6
45.337060714,85,6
35.970031056,75.333333333,6
24.278215832,66.333333333,6
23.703970719,64.666666667,6
18.726190476,67,6
19.25,73,6
26.126391466,72.666666667,6
32.656617865,74.333333333,6
26.359693878,66,6
15.294372294,63,6
21.034722222,67,6
29.131944444,68.666666667,6
33.041666667,67.333333333,6
14.768055556,63.666666667,6
27.296717172,70.666666667,6
42.381944444,78.333333333,6
26.034722222,77,6
23.783730159,73.333333333,6
43.583333333,82,6
24.854166667,81.333333333,6
22.416666667,81,6
24.596242707,81,6
24.690277778,74.666666667,6
13.698863636,73.333333333,7
29.674603175,79,7
43.011645963,80,7
36.891045549,88,7
37.19047619,92,7
49.558148088,92,7
38.09047619,84.333333333,7
27.976708075,80.333333333,7
32.326388889,77.666666667,7
41.715277778,77,7
25.881944444,72.333333333,7
18.929112554,71,7
25.392934447,70.333333333,7
14.625,70,7
38.138888889,75.666666667,7
58.951388889,83.333333333,7
56.972222222,85.666666667,7
59.256944444,87,7
37.991071429,85.666666667,7
28.148611111,78,7
19.201785714,76,7
18.6125,77,7
39.091666667,80.333333333,7
56.6,85.666666667,7
47.258333333,86.333333333,7
47.528333333,83.666666667,7
37.238839482,85,7
34.192550505,85.666666667,7
37.409722222,82,7
52.201388889,81.666666667,7
52.825483092,81,7
44.041666667,88.333333333,8
35.085912698,81.333333333,8
33.520833333,78,8
33.60736715,78.333333333,8
27.639880952,78.333333333,8
36.5,78.666666667,8
46.430555556,78,8
47.9375,78,8
25.966540404,74,8
21.493055556,70.666666667,8
34.479166667,77.333333333,8
41.847222222,80.333333333,8
23.538149351,80.666666667,8
42.680555556,78,8
19.680555556,75,8
22.78321256,75.666666667,8
30.319444444,78.666666667,8
33.35218254,81,8
25.052020202,75.333333333,8
19.134920635,68.333333333,8
16.243055556,62,8
14.583333333,66.666666667,8
20.942424242,74,8
26.379761905,77,8
30.110257074,74.666666667,8
19.020833333,74.666666667,8
28.152777778,76,8
34.222222222,80,8
35.4375,77.333333333,8
13.243686869,65.666666667,8
20.573412698,69.333333333,8
18.98989899,70.666666667,9
17.680555556,73.666666667,9
10.381313131,72.666666667,9
10.576388889,74.666666667,9
14.409722222,75.333333333,9
17.944444444,78.666666667,9
23.400252525,76.666666667,9
21.131944444,76.333333333,9
21.240530303,76.333333333,9
8.586489899,73,9
25.194444444,71.666666667,9
28.034722222,71.333333333,9
28.536976912,70.666666667,9
16.832976504,70.666666667,9
7.5277777778,69.666666667,9
18.360119048,67.666666667,9
19.878968254,66.333333333,9
15.611111111,66,9
26.868055556,66.666666667,9
25.992424242,68,9
10.599240402,61.333333333,9
11.363707729,55.333333333,9
14.961251167,62,9
22.258333333,67.333333333,9
25.433333333,69,9
14.775,62,9
14.041883117,66,9
26.199494949,71.333333333,9
29.169082126,71,9
20.188888889,65,9
25.372619048,55.333333333,5
32.833333333,57.666666667,5
28.886672851,56.666666667,5
12.068537415,56.666666667,5
11.219202899,63.666666667,5
13.191102757,60,5
8.1708074534,56.666666667,5
8.2391304348,58,5
18.136904762,64,5
23.769762846,64,5
20.920918367,59.333333333,5
18.736632342,62.666666667,5
29.316558442,59.333333333,5
20.001253133,56,5
17.196428571,59,5
22.410714286,58.333333333,5
22.04333751,61.333333333,5
13.679679448,60.333333333,5
12.417857143,62.666666667,5
26.114035088,65.333333333,5
24,65,5
29.226190476,67.666666667,5
34.946428571,61.333333333,5
11.762631416,62,5
21.538419913,62.666666667,5
24.452380952,66,5
20.022619048,64.333333333,5
25.660714286,69.666666667,5
34.970238095,74.666666667,5
35.724789916,75.666666667,5
41.840277778,75.333333333,5
40.212770563,75.666666667,6
29.338065661,78.666666667,6
35.386038961,75.666666667,6
28.394557823,70.333333333,6
26.229166667,68.333333333,6
25.194444444,68,6
49.992064612,82.333333333,6
45.337060714,85,6
35.970031056,75.333333333,6
24.278215832,66.333333333,6
23.703970719,64.666666667,6
18.726190476,67,6
19.25,73,6
26.126391466,72.666666667,6
32.656617865,74.333333333,6
26.359693878,66,6
15.294372294,63,6
21.034722222,67,6
29.131944444,68.666666667,6
33.041666667,67.333333333,6
14.768055556,63.666666667,6
27.296717172,70.666666667,6
42.381944444,78.333333333,6
26.034722222,77,6
23.783730159,73.333333333,6
43.583333333,82,6
24.854166667,81.333333333,6
22.416666667,81,6
24.596242707,81,6
24.690277778,74.666666667,6
13.698863636,73.333333333,7
29.674603175,79,7
43.011645963,80,7
36.891045549,88,7
37.19047619,92,7
49.558148088,92,7
38.09047619,84.333333333,7
27.976708075,80.333333333,7
32.326388889,77.666666667,7
41.715277778,77,7
25.881944444,72.333333333,7
18.929112554,71,7
25.392934447,70.333333333,7
14.625,70,7
38.138888889,75.666666667,7
58.951388889,83.333333333,7
56.972222222,85.666666667,7
59.256944444,87,7
37.991071429,85.666666667,7
28.148611111,78,7
19.201785714,76,7
18.6125,77,7
39.091666667,80.333333333,7
56.6,85.666666667,7
47.258333333,86.333333333,7
47.528333333,83.666666667,7
37.238839482,85,7
34.192550505,85.666666667,7
37.409722222,82,7
52.201388889,81.666666667,7
52.825483092,81,7
44.041666667,88.333333333,8
35.085912698,81.333333333,8
33.520833333,78,8
33.60736715,78.333333333,8
27.639880952,78.333333333,8
36.5,78.666666667,8
46.430555556,78,8
47.9375,78,8
25.966540404,74,8
21.493055556,70.666666667,8
34.479166667,77.333333333,8
41.847222222,80.333333333,8
23.538149351,80.666666667,8
42.680555556,78,8
19.680555556,75,8
22.78321256,75.666666667,8
30.319444444,78.666666667,8
33.35218254,81,8
25.052020202,75.333333333,8
19.134920635,68.333333333,8
16.243055556,62,8
14.583333333,66.666666667,8
20.942424242,74,8
26.379761905,77,8
30.110257074,74.666666667,8
19.020833333,74.666666667,8
28.152777778,76,8
34.222222222,80,8
35.4375,77.333333333,8
13.243686869,65.666666667,8
20.573412698,69.333333333,8
18.98989899,70.666666667,9
17.680555556,73.666666667,9
10.381313131,72.666666667,9
10.576388889,74.666666667,9
14.409722222,75.333333333,9
17.944444444,78.666666667,9
23.400252525,76.666666667,9
21.131944444,76.333333333,9
21.240530303,76.333333333,9
8.586489899,73,9
25.194444444,71.666666667,9
28.034722222,71.333333333,9
28.536976912,70.666666667,9
16.832976504,70.666666667,9
7.5277777778,69.666666667,9
18.360119048,67.666666667,9
19.878968254,66.333333333,9
15.611111111,66,9
26.868055556,66.666666667,9
25.992424242,68,9
10.599240402,61.333333333,9
11.363707729,55.333333333,9
14.961251167,62,9
22.258333333,67.333333333,9
25.433333333,69,9
14.775,62,9
14.041883117,66,9
26.199494949,71.333333333,9
29.169082126,71,9
20.188888889,65,9
25.372619048,55.333333333,5
32.833333333,57.666666667,5
28.886672851,56.666666667,5
12.068537415,56.666666667,5
11.219202899,63.666666667,5
13.191102757,60,5
8.1708074534,56.666666667,5
8.2391304348,58,5
18.136904762,64,5
23.769762846,64,5
20.920918367,59.333333333,5
18.736632342,62.666666667,5
29.316558442,59.333333333,5
20.001253133,56,5
17.196428571,59,5
22.410714286,58.333333333,5
22.04333751,61.333333333,5
13.679679448,60.333333333,5
12.417857143,62.666666667,5
26.114035088,65.333333333,5
24,65,5
29.226190476,67.666666667,5
34.946428571,61.333333333,5
11.762631416,62,5
21.538419913,62.666666667,5
24.452380952,66,5
20.022619048,64.333333333,5
25.660714286,69.666666667,5
34.970238095,74.666666667,5
35.724789916,75.666666667,5
41.840277778,75.333333333,5
40.212770563,75.666666667,6
29.338065661,78.666666667,6
35.386038961,75.666666667,6
28.394557823,70.333333333,6
26.229166667,68.333333333,6
25.194444444,68,6
49.992064612,82.333333333,6
45.337060714,85,6
35.970031056,75.333333333,6
24.278215832,66.333333333,6
23.703970719,64.666666667,6
18.726190476,67,6
19.25,73,6
26.126391466,72.666666667,6
32.656617865,74.333333333,6
26.359693878,66,6
15.294372294,63,6
21.034722222,67,6
29.131944444,68.666666667,6
33.041666667,67.333333333,6
14.768055556,63.666666667,6
27.296717172,70.666666667,6
42.381944444,78.333333333,6
26.034722222,77,6
23.783730159,73.333333333,6
43.583333333,82,6
24.854166667,81.333333333,6
22.416666667,81,6
24.596242707,81,6
24.690277778,74.666666667,6
13.698863636,73.333333333,7
29.674603175,79,7
43.011645963,80,7
36.891045549,88,7
37.19047619,92,7
49.558148088,92,7
38.09047619,84.333333333,7
27.976708075,80.333333333,7
32.326388889,77.666666667,7
41.715277778,77,7
25.881944444,72.333333333,7
18.929112554,71,7
25.392934447,70.333333333,7
14.625,70,7
38.138888889,75.666666667,7
58.951388889,83.333333333,7
56.972222222,85.666666667,7
59.256944444,87,7
37.991071429,85.666666667,7
28.148611111,78,7
19.201785714,76,7
18.6125,77,7
39.091666667,80.333333333,7
56.6,85.666666667,7
47.258333333,86.333333333,7
47.528333333,83.666666667,7
37.238839482,85,7
34.192550505,85.666666667,7
37.409722222,82,7
52.201388889,81.666666667,7
52.825483092,81,7
44.041666667,88.333333333,8
35.085912698,81.333333333,8
33.520833333,78,8
33.60736715,78.333333333,8
27.639880952,78.333333333,8
36.5,78.666666667,8
46.430555556,78,8
47.9375,78,8
25.966540404,74,8
21.493055556,70.666666667,8
34.479166667,77.333333333,8
41.847222222,80.333333333,8
23.538149351,80.666666667,8
42.680555556,78,8
19.680555556,75,8
22.78321256,75.666666667,8
30.319444444,78.666666667,8
33.35218254,81,8
25.052020202,75.333333333,8
19.134920635,68.333333333,8
16.243055556,62,8
14.583333333,66.666666667,8
20.942424242,74,8
26.379761905,77,8
30.110257074,74.666666667,8
19.020833333,74.666666667,8
28.152777778,76,8
34.222222222,80,8
35.4375,77.333333333,8
13.243686869,65.666666667,8
20.573412698,69.333333333,8
18.98989899,70.666666667,9
17.680555556,73.666666667,9
10.381313131,72.666666667,9
10.576388889,74.666666667,9
14.409722222,75.333333333,9
17.944444444,78.666666667,9
23.400252525,76.666666667,9
21.131944444,76.333333333,9
21.240530303,76.333333333,9
8.586489899,73,9
25.194444444,71.666666667,9
28.034722222,71.333333333,9
28.536976912,70.666666667,9
16.832976504,70.666666667,9
7.5277777778,69.666666667,9
18.360119048,67.666666667,9
19.878968254,66.333333333,9
15.611111111,66,9
26.868055556,66.666666667,9
25.992424242,68,9
10.599240402,61.333333333,9
11.363707729,55.333333333,9
14.961251167,62,9
22.258333333,67.333333333,9
25.433333333,69,9
14.775,62,9
14.041883117,66,9
26.199494949,71.333333333,9
29.169082126,71,9
20.188888889,65,9
